Sentence,Sentiment
"Maine yeh movie dekhi aur mujhe bahut achha laga, kahani bahut interesting thi, acting bhi bahut achha",Positive
"Yeh restaurant ki khana bahut kharab thi, maine toh apni plate wapas kar di thi, service bhi bahut slow",Negative
"Main kal office jaunga aur meeting mein participate karoonga, hope sab kesse theek rahega, project ki planning bhi",Neutral
"Yeh hotel ki service bahut achhi thi, maine toh apne family ke saath stay kiya tha, room bhi bahut clean",Positive
"Maine yeh book padhi aur mujhe bahut achha laga, kahani bahut romantic thi, characters bhi bahut interesting",Positive
"Yeh phone ki battery bahut kharab hai, maine toh apne friend ko gift kiya tha, camera bhi bahut average",Negative
"Main kal park mein jaunga aur apne friends ke saath khelunga, hope sab kuch theek rahega, weather bhi bahut achha",Neutral
"Yeh concert bahut amazing tha, lekin ticket bahut expensive thi, par phir bhi maine enjoy kiya tha, music bhi bahut energetic",Positive
"Maine yeh game khela aur mujhe bahut achha laga, graphics bhi bahut impressive the, gameplay bhi bahut smooth",Positive
"Yeh restaurant ki khana bahut spicy thi, maine toh apni glass wapas kar di thi, service bhi bahut poor",Negative
"Main kal office jaunga aur project mein kaam karoonga, hope sab kuch theek rahega, deadline bhi bahut tight",Neutral
"Yeh hotel ki location bahut achhi thi, maine toh apne family ke saath stay kiya tha, staff bhi bahut friendly",Positive
"Maine yeh movie dekhi aur mujhe bahut achha laga, story bhi bahut unique thi, acting bhi bahut impressive",Positive
"Yeh phone ki camera bahut achhi hai, maine toh apne friend ko gift kiya tha, battery life bhi bahut good",Positive
"Main kal park mein jaunga aur apne friends ke saath picnic manaunga, hope sab kuch theek rahega, food bhi bahut tasty",Neutral
"Yeh restaurant ki khana bahut kharab thi, maine toh apni plate wapas kar di thi, service bhi bahut slow",Negative
"Main kal office jaunga aur meeting mein participate karoonga, hope sab kesse theek rahega, project ki planning bhi",Neutral
"Yeh hotel ki service bahut achhi thi, maine toh apne family ke saath stay kiya tha, room bhi bahut clean",Positive
"Maine yeh book padhi aur mujhe bahut achha laga, kahani bahut romantic thi, characters bhi bahut interesting",Positive
"Yeh phone ki battery bahut kharab hai, maine toh apne friend ko gift kiya tha, camera bhi bahut average",Negative
"Main kal park mein jaunga aur apne friends ke saath khelunga, hope sab kuch theek rahega, weather bhi bahut achha",Neutral
"Yeh concert bahut amazing tha, lekin ticket bahut expensive thi, par phir bhi maine enjoy kiya tha, music bhi bahut energetic",Positive
"Maine yeh game khela aur mujhe bahut achha laga, graphics bhi bahut impressive the, gameplay bhi bahut smooth",Positive
"Yeh restaurant ki khana bahut spicy thi, maine toh apni glass wapas kar di thi, service bhi bahut poor",Negative
"Main kal office jaunga aur project mein kaam karoonga, hope sab kuch theek rahega, deadline bhi bahut tight",Neutral
"Yeh hotel ki location bahut achhi thi, maine toh apne family ke saath stay kiya tha, staff bhi bahut friendly",Positive
"Maine yeh movie dekhi aur mujhe bahut achha laga, story bhi bahut unique thi, acting bhi bahut impressive",Positive
"Yeh restaurant ki khana bahut kharab thi, maine toh apni plate wapas kar di thi, service bhi bahut slow",Negative
"Main kal office jaunga aur meeting mein participate karoonga, hope sab kesse theek rahega, project ki planning bhi",Neutral
"Yeh hotel ki service bahut achhi thi, maine toh apne family ke saath stay kiya tha, room bhi bahut clean",Positive
"Maine yeh book padhi aur mujhe bahut achha laga, kahani bahut romantic thi, characters bhi bahut interesting",Positive
"Yeh phone ki battery bahut kharab hai, maine toh apne friend ko gift kiya tha, camera bhi bahut average",Negative
"Main kal park mein jaunga aur apne friends ke saath khelunga, hope sab kuch theek rahega, weather bhi bahut achha",Neutral
"Yeh concert bahut amazing tha, lekin ticket bahut expensive thi, par phir bhi maine enjoy kiya tha, music bhi bahut energetic",Positive
"Maine yeh game khela aur mujhe bahut achha laga, graphics bhi bahut impressive the, gameplay bhi bahut smooth",Positive
"Yeh restaurant ki khana bahut spicy thi, maine toh apni glass wapas kar di thi, service bhi bahut poor",Negative
"Main kal office jaunga aur project mein kaam karoonga, hope sab kuch theek rahega, deadline bhi bahut tight",Neutral
"Yeh hotel ki location bahut achhi thi, maine toh apne family ke saath stay kiya tha, staff bhi bahut friendly",Positive
"Maine yeh movie dekhi aur mujhe bahut achha laga, story bhi bahut unique thi, acting bhi bahut impressive",Positive
"Yeh phone ki camera bahut achhi hai, maine toh apne friend ko gift kiya tha, battery life bhi bahut good",Positive
"Main kal park mein jaunga aur apne friends ke saath picnic manaunga, hope sab kuch theek rahega, food bhi bahut tasty",Neutral
"Maine yeh movie dekhi aur mujhe bahut achha laga, kahani bahut interesting thi, acting bhi bahut achha tha!",Positive
"Yeh restaurant ki khana bahut kharab thi, maine toh apni plate wapas kar di thi, service bhi bahut slow thi.",Negative
"Main kal office jaunga aur meeting mein participate karoonga, hope sab kesse theek rahega, project ki planning bhi karoonga.",Neutral
"Yeh hotel ki service bahut achhi thi, maine toh apne family ke saath stay kiya tha, room bhi bahut clean tha!",Positive
"Maine yeh book padhi aur mujhe bahut achha laga, kahani bahut romantic thi, characters bhi bahut interesting the!",Positive
"Yeh phone ki battery bahut kharab hai, maine toh apne friend ko gift kiya tha, camera bhi bahut average hai.",Negative
"Main kal park mein jaunga aur apne friends ke saath khelunga, hope sab kuch theek rahega, weather bhi bahut achha hai.",Neutral
"Yeh concert bahut amazing tha, lekin ticket bahut expensive thi, par phir bhi maine enjoy kiya tha, music bhi bahut energetic tha!",Positive
"Maine yeh game khela aur mujhe bahut achha laga, graphics bhi bahut impressive the, gameplay bhi bahut smooth tha!",Positive
"Yeh restaurant ki khana bahut spicy thi, maine toh apni glass wapas kar di thi, service bhi bahut poor thi.",Negative
"Main kal office jaunga aur project mein kaam karoonga, hope sab kuch theek rahega, deadline bhi bahut tight hai.",Neutral
"Yeh hotel ki location bahut achhi thi, maine toh apne family ke saath stay kiya tha, staff bhi bahut friendly tha!",Positive
"Maine yeh movie dekhi aur mujhe bahut achha laga, story bhi bahut unique thi, acting bhi bahut impressive tha!",Positive
"Yeh phone ki camera bahut achhi hai, maine toh apne friend ko gift kiya tha, battery life bhi bahut good hai.",Positive
"Main kal park mein jaunga aur apne friends ke saath picnic manaunga, hope sab kuch theek rahega, food bhi bahut tasty hai.",Neutral
"Maine yeh movie dekhi aur mujhe bahut achha laga, kahani bahut interesting thi, acting bhi bahut achha tha!",Positive
"Yeh restaurant ki khana bahut kharab thi, maine toh apni plate wapas kar di thi, service bhi bahut slow thi.",Negative
